ID,Source,Target,Path
1216,C0392501,C0489963,C0392501 -> C0489963 -> C0392501
1217,C0430389,C0026018,C0430389 -> C0026018 -> C0430389
1218,C0107744,C0110666,C0107744 -> C0110666 -> C0032952 -> C0107744
1219,C0107744,C0033223,C0107744 -> C0110666 -> C0033223 -> C0107744
1220,C0107744,C0032952,C0107744 -> C0110666 -> C0032952 -> C0107744
1221,C0107744,C0010583,C0107744 -> C0110666 -> C0010583 -> C0107744
1222,C0029408,C0003864,C0029408 -> C0003864 -> C0022408 -> C0263661 -> C0029408
1223,C0029408,C0022408,C0029408 -> C0022408 -> C0263661 -> C0029408
1224,C0029408,C0263661,C0029408 -> C0263661 -> C0029408
1225,C0014548,C0270850,C0014548 -> C0270850 -> C0014548
1226,C0018948,C0042134,C0018948 -> C0042134 -> C0018948
1227,C0068263,C0042280,C0068263 -> C0042280 -> C0068263
1228,C0158352,C0027868,C0158352 -> C0026848 -> C0027868 -> C0026848 -> C0158352
1229,C0158352,C0442874,C0158352 -> C0026848 -> C0027868 -> C4721453 -> C0442874 -> C0027765 -> C0027868 -> C0026848 -> C0158352
1230,C0158352,C0869054,C0158352 -> C0026848 -> C0027765 -> C0869054 -> C0027765 -> C0027868 -> C0026848 -> C0158352
1231,C0158352,C0026848,C0158352 -> C0026848 -> C0158352
1232,C0158352,C2015799,C0158352 -> C0026848 -> C2015799 -> C0027765 -> C0027868 -> C0026848 -> C0158352
1233,C0158352,C0549469,C0158352 -> C0026848 -> C0027868 -> C4721453 -> C0549469 -> C0027868 -> C0026848 -> C0158352
1234,C0158352,C0027765,C0158352 -> C0026848 -> C0027765 -> C0027868 -> C0026848 -> C0158352
1235,C0158352,C4721453,C0158352 -> C0026848 -> C0027868 -> C4721453 -> C0027868 -> C0026848 -> C0158352
1236,C0271453,C0029883,C0271453 -> C0029883 -> C0271453
1237,C0271453,C0155421,C0271453 -> C0029883 -> C0029882 -> C0155421 -> C0271453
1238,C0271453,C0029882,C0271453 -> C0029883 -> C0029882 -> C0271453
1239,C0271453,C0271446,C0271453 -> C0271446 -> C0271453
1240,C0271453,C1455742,C0271453 -> C0029883 -> C1455742 -> C0271453
1241,C0271453,C0029877,C0271453 -> C0029883 -> C0029882 -> C0029877 -> C0029882 -> C0271453
1242,C0153594,C0039590,C0153594 -> C0039590 -> C0153594
1243,C1667080,C1565750,C1667080 -> C1565750 -> C1667080
1244,C0157738,C0333297,C0157738 -> C0333297 -> C0038358 -> C0041582 -> C0157738
